Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2019-01-02,33417.88449596774,33417.88449596774,32696.940287298385,32866.57421875,7847664
2019-01-03,32484.912384682513,32696.95489372091,31763.967853951963,31891.193359375,12471493
2019-01-04,31763.962890625,31891.188376168226,31255.060948452105,31763.962890625,14108958
2019-01-07,32230.44697580645,32993.79966733871,32060.813044354836,32866.57421875,12748997
2019-01-08,32230.454498851705,33248.25832513123,32188.04600609006,32315.271484375,12756554
2019-01-09,32781.76595545297,33587.52734375,32484.906496606694,33587.52734375,17452708
2019-01-10,33926.790201005024,34054.01566425879,33587.522298994976,33757.15625,14731699
2019-01-11,34223.661212384264,34393.295220871914,33884.39319540895,34350.88671875,11661063
2019-01-14,34308.46712605337,34520.509568117974,33799.56526509831,33969.19921875,11984996
2019-01-15,33969.20289689781,34859.78125,33799.568924878346,34859.78125,11492756
2019-01-16,34902.193545499096,35156.64453125,34520.51706687274,35156.64453125,8491595
2019-01-17,35368.67632598331,35707.94420441001,35156.63390196663,35580.71875,11736903
2019-01-18,35623.12333776595,35962.39117907801,35580.714857601946,35877.57421875,11029256
2019-01-21,36216.86102887427,36259.26953125,35538.32499086257,36259.26953125,11355701
2019-01-22,36259.265249666365,36344.08224440243,35495.91229704181,35750.36328125,9964356
2019-01-23,35071.82626953125,35835.17919921875,35071.82626953125,35623.13671875,11071079
2019-01-24,36513.71484375,36556.12333950349,35919.99590320122,36513.71484375,14747623
2019-01-25,37573.92125523743,37955.59765625,37107.42787622207,37955.59765625,22789395
2019-01-28,38167.642289816875,38591.72720414817,37828.37435835183,38210.05078125,17998914
2019-01-29,38210.04627833104,38591.72265625,37616.32746823489,38591.72265625,16215017
2019-01-30,37998.02532327586,39355.09765625,37998.02532327586,39355.09765625,17505980
2019-01-31,39567.12004418337,39906.387954530066,39143.03515625,39143.03515625,21621145
2019-02-01,39567.13068871359,39821.58168992718,39227.86268709547,39312.6796875,13832454
2019-02-07,39694.34719967532,39948.79814326298,39185.4453125,39185.4453125,15872001
2019-02-08,38761.36463274275,38761.36463274275,37870.786233084546,37998.01171875,12689196
2019-02-11,37743.55572916666,38167.640625,37531.513281249994,38167.640625,11125044
2019-02-12,37870.78104641694,39227.852707654725,37870.78104641694,39058.21875,13184367
