Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-01-04,73997.19775978915,77103.25297439759,73266.36123870482,75824.2890625,38655276
2021-01-05,74545.32166269368,76646.4765625,74545.32166269368,76646.4765625,35335669
2021-01-06,76098.35334930048,77194.60813944647,75002.0985591545,75093.453125,42089013
2021-01-07,75641.58293124246,76920.546893848,75550.22836248492,75732.9375,32644642
2021-01-08,76098.35062112894,82219.10631334459,75824.2869334178,81122.8515625,59013307
2021-01-11,82219.10285027472,88431.2128434066,81762.33005666209,83132.6484375,90306177
2021-01-12,82493.16289838577,83498.06300013798,80209.29903076711,82767.2265625,48682416
2021-01-13,82036.40926351729,83315.3733277592,81396.92723139632,81945.0546875,36068848
2021-01-14,81031.5089273272,82219.11841555184,81031.5089273272,81945.0546875,26393970
2021-01-15,82036.38181818182,83863.47272727273,80392.0,80392.0,33431809
2021-01-18,79113.0559007353,79752.53787683824,76829.19170036765,77651.3828125,43227951
2021-01-19,77194.58952945402,80391.9985632184,76372.39863505747,79478.453125,39895044
2021-01-20,81305.56981077982,81305.56981077982,79021.7054902523,79661.1875,25211127
2021-01-21,79935.2398286748,80940.139986521,79021.69423063281,80483.3671875,25318011
2021-01-22,81305.55812572005,81945.0400435628,79295.7578125,79295.7578125,30861661
2021-01-25,79478.45952181208,82127.74150587249,78838.9776635906,81670.96875,27258534
2021-01-26,81122.84407439447,81488.26229094579,79021.68932922433,79204.3984375,33178936
2021-01-27,79113.04556074766,80117.9456775701,78199.5,78199.5,26423070
2021-01-28,76006.98506571088,78199.49425029868,76006.98506571088,76463.7578125,31859808
2021-01-29,77194.59017721037,77651.36290015244,74910.7265625,74910.7265625,39615978
2021-02-01,74636.67971573795,76189.70732304217,73997.19775978915,75824.2890625,28046832
2021-02-02,76829.17853043543,78930.33323459716,76463.760321016,77103.2421875,26302077
2021-02-03,77468.67789598109,78016.80533392435,76189.71387411347,77285.96875,22112205
2021-02-04,76281.06126893939,76555.12496212122,75002.09736742424,75367.515625,24171688
2021-02-05,75915.64423652695,76737.83532934131,75367.51684131737,76281.0625,18036835
2021-02-08,76555.12558358433,76920.5438441265,75824.2890625,75824.2890625,15338765
2021-02-09,76737.82005743652,77468.65643893591,75550.2109375,75550.2109375,20898332
