Price,Open,High,Low,Close,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2010-01-04,11962.45369838342,12051.8369140625,11917.762090543882,12051.8369140625,11950800
2010-01-05,12305.08782647126,12349.779428746579,12141.218618128421,12245.4990234375,27925850
2010-01-06,12349.782376356272,12528.548828125,12305.09076341409,12528.548828125,22948850
2010-01-07,12528.550486959946,12528.550486959946,12111.4287109375,12111.4287109375,22107950
2010-01-08,12215.704362058466,12230.6015625,12007.14355587698,12230.6015625,14777550
2010-01-11,12230.603170090966,12260.397574890212,11873.0703125,11873.0703125,19896100
2010-01-12,11873.070482704343,12051.8369140625,11843.276077477982,12051.8369140625,19218050
2010-01-13,11992.247931696988,12007.145134096612,11873.0703125,11873.0703125,13375300
2010-01-14,12007.14698269347,12379.577100022672,11917.763754534462,12319.98828125,26551550
2010-01-15,12394.472312945369,12558.341538236713,12349.78070604773,12543.4443359375,19905600
2010-01-18,12513.654081405695,12603.037324844307,12334.88759452847,12558.345703125,13060400
2010-01-19,12662.621921988914,12662.621921988914,12245.500258676337,12260.3974609375,12041250
2010-01-20,12260.397377800884,12468.95820804294,12260.397377800884,12424.2666015625,19200850
2010-01-21,12215.706939338233,12662.623046874998,12215.706939338233,12662.623046875,16990100
2010-01-22,12513.6484375,12588.134440104166,12185.910026041667,12290.1904296875,23460500
2010-01-25,12156.117076157958,12632.82754973278,12141.219873858745,12543.4443359375,20578400
2010-01-26,12603.035019651074,12603.035019651074,12096.530066142637,12141.2216796875,18722300
2010-01-27,12141.22074584961,12171.015152587892,11917.7626953125,11917.7626953125,18516150
2010-01-28,12036.939453125,12141.2198691793,11962.453441657643,12036.939453125,13795800
2010-01-29,11917.76347257653,11932.66067691725,11619.819385762117,11679.408203125,22854100
2010-02-01,11679.406390765766,11694.303592794804,11396.359552214044,11575.1259765625,25037200
2010-02-02,11768.793274874513,11768.793274874513,11470.849141333387,11500.6435546875,19677150
2010-02-03,11649.611986707689,11694.303592794804,11441.051158301158,11575.1259765625,16467700
2010-02-04,11545.33228923365,11664.509912864449,11500.6406803721,11560.2294921875,11971700
2010-02-05,11292.078981770832,11336.770587239582,11128.20976171875,11172.9013671875,25705750
2010-02-08,11128.21021943934,11232.49063648897,11038.827004825367,11143.107421875,21891500
